ROWNUM;ADDRESS;NAME;DISTRICT;AREA;CHIEFNAME;CHIEFPOSIT;PHONE;FAX;WEBSITE;EMAIL;WRKHOURS;CLARIFICATIONOFWRKHOURS;NUM_ROOMS;TOT_SEAT;X;Y;GLOBALID;LAT;LON
132;Родина;ул. Измайловский вал, д.5;Восточный административный округ;район Соколиная Гора;;;(499) 369 07 93;;;;;;;;37,717872;55,781616;85988715;55.781616;37.717872
133;Слава;ш. Энтузиастов, д.58;Восточный административный округ;район Перово;;;;;;;;;;;37,7733;55,7618;85988716;55.7618;37.7733
134;Тбилиси;ул. Новочеремушкинская, д.53а;Юго-Западный административный округ;район Черёмушки;;;;;;;;;;;37,569842;55,671743;85988717;55.671743;37.569842
135;Экран;Новочеркасский б-р, д.21а;Юго-Восточный административный округ;район Марьино;;;(495) 356 88 01, 349 19 20;;ekran-kino.ru;;;;;;37,727821;55,647922;85988718;55.647922;37.727821
136;ГУП г. Москвы « Обьедененная дирекция по управлению имущественным комплексом киносетей» кинотеатр Ударник;ул. Серафимовича, д.2;Центральный административный округ;район Якиманка;;;959-31-54;;karofilm.ru;info@karofilm.ru;;;;;37,61243;55,744216;85988719;55.744216;37.61243
137;Коиноцентр «Пушкинский»;Пушкинская пл., д.2;Центральный административный округ;Тверской район;;;(495) 699-98-37;;karofilm.ru;info@karofilm.ru;;;;;37,607423;55,766206;85988720;55.766206;37.607423
138;ООО«КИНОМИР»;Настасьинский пер., д.2;Центральный административный округ;Тверской район;;;(495) 699-27-00;;kinomax.ru;;;;;;37,603328;55,766439;85988721;55.766439;37.603328
139;Киноцентр на Красной Пресне;ул. Дружинниковская, д. 15;Центральный административный округ;Пресненский район;;;"(499) 255- 96-92, (499) 255-92-37;";;kinocenter.ru;info@kino center.ru;;;;;37,574869;55,759721;85988722;55.759721;37.574869
140;Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Искра»;улица Костякова, дом 10;Северный административный округ;Тимирязевский район;Овсянникова Ирина Петровна;директор;"(495) 976-14-44; (495) 976-27-24";"(495) 976-14-44; (495) 976-27-24";kino-iskra.ru;kino-iskra@mail.ru;"понедельник 09:00-23:00; вторник 09:00-23:00; среда 09:00-23:00; четверг 09:00-23:00; пятница 09:00-23:00; суббота 09:00-23:00; воскресенье 09:00-23:00";;2;120;37,571751;55,81404;87036569;55.81404;37.571751
141;Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Арктика»;улица Менжинского, дом 6;Северо-Восточный административный округ;Лосиноостровский район;Грачев Владимир Викторович;директор;"(499) 184-27-27; (499) 184-27-18; (499) 184-27-00";(499) 184-27-00;;kino-arktika@mail.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;0;0;37,681328;55,86596;87036570;55.86596;37.681328
142;Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Вымпел»;улица Коминтерна, дом 8;Северо-Восточный административный округ;Бабушкинский район;Федотова Светлана Геннадьевна;директор;(499) 184-41-09;(499) 184-41-09;vympel-kino.ru;vympel-sv@yandex.ru;"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";;2;162;37,676818;55,862;87036571;55.862;37.676818
143;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Баку»;улица Усиевича, дом 12;Северный административный округ;район Аэропорт;Орестова Василиса Руслановна;директор;"(499) 369-77-51; (499) 369-77-82";"(499) 369-18-91; (499) 369-77-82";mos-kino.ru;mos-kino@yandex.ru;"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-20:00; воскресенье 10:00-20:00";;3;730;37,528252;55,80637;87036572;55.80637;37.528252
144;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Владивосток»;улица Лазо, дом 3;Восточный административный округ;район Перово;Орестова Василиса Руслановна;директор;"(499) 369-77-51; (499) 369-77-82";"(499) 369-18-91; (499) 369-77-82";mos-kino.ru;mos-kino@yandex.ru;"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-20:00; воскресенье 10:00-20:00";;1;700;37,774299;55,743722;87036574;55.743722;37.774299
145;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Звезда»;улица Земляной Вал, дом 18-22, строение 2;Центральный административный округ;Басманный район;Орестова Василиса Руслановна;директор;"(499) 369-77-51; (499) 369-77-82";"(499) 369-18-91; (499) 369-77-82";mos-kino.ru;mos-kino@yandex.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;1;180;37,656893;55,759982;87036577;55.759982;37.656893
146;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Круговая кинопанорама»;проспект Мира, дом 119, строение 541;Северо-Восточный административный округ;Останкинский район;Орестова Василиса Руслановна;директор;"(499) 369-77-51; (499) 369-77-82";"(499) 369-18-91; (499) 369-77-82";mos-kino.ru;mos-kino@yandex.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;1;300;37,629865;55,827095;87036578;55.827095;37.629865
147;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Нева»;Беломорская улица, дом 16А;Северный административный округ;район Левобережный;Орестова Василиса Руслановна;директор;"(499) 369-77-51; (499) 369-77-82";"(499) 369-18-91; (499) 369-77-82";mos-kino.ru;mos-kino@yandex.ru;"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-20:00; воскресенье 10:00-20:00";;1;430;37,471198;55,86278;87036580;55.86278;37.471198
148;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Сатурн»;Снежная улица, дом 18;Северо-Восточный административный округ;район Свиблово;Орестова Василиса Руслановна;директор;"(499) 369-77-51; (499) 369-77-82";"(499) 369-18-91; (499) 369-77-82";mos-kino.ru;mos-kino@yandex.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;1;500;37,64753;55,851973;87036584;55.851973;37.64753
149;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Свобода»;улица Трофимова, дом 17;Юго-Восточный административный округ;Южнопортовый район;Орестова Василиса Руслановна;директор;"(499) 369-77-51; (499) 369-77-82";"(499) 369-18-91; (499) 369-77-82";mos-kino.ru;mos-kino@yandex.ru;"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-20:00; воскресенье 10:00-20:00";;1;700;37,674615;55,703426;87036585;55.703426;37.674615
150;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Спутник»;Солдатская улица, дом 15;Юго-Восточный административный округ;район Лефортово;Орестова Василиса Руслановна;директор;"(499) 369-77-51; (499) 369-77-82";"(499) 369-18-91; (499) 369-77-82";mos-kino.ru;mos-kino@yandex.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;1;392;37,705596;55,76437;87036586;55.76437;37.705596
151;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Тула»;улица Кухмистерова, дом 4;Юго-Восточный административный округ;район Печатники;Орестова Василиса Руслановна;директор;"(499) 369-77-51; (499) 369-77-82";"(499) 369-18-91; (499) 369-77-82";mos-kino.ru;mos-kino@yandex.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;1;540;37,718517;55,685879;87036589;55.685879;37.718517
152;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Факел»;шоссе Энтузиастов, дом 15/16;Юго-Восточный административный округ;район Лефортово;Орестова Василиса Руслановна;директор;"(499) 369-77-51; (499) 369-77-82";"(499) 369-18-91; (499) 369-77-82";mos-kino.ru;mos-kino@yandex.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;1;98;37,716136;55,751861;87036591;55.751861;37.716136
153;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Художественный»;Арбатская площадь, дом 14, строение 1;Центральный административный округ;район Арбат;Орестова Василиса Руслановна;директор;"(499) 369-77-51; (499) 369-77-82";"(499) 369-18-91; (499) 369-77-82";mos-kino.ru;mos-kino@yandex.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;5;766;37,602033;55,75239;87036592;55.75239;37.602033
154;Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Березка»;Мартеновская улица, дом 25;Восточный административный округ;район Новогиреево;Бармас Римма Борисовна;директор;(495) 301-90-83;(495) 301-90-83;;kinoteatr.berezka@mail.ru;"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:30-22:00";;2;393;37,802534;55,74976;87036594;55.74976;37.802534
155;Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Молодежный»;Люблинская улица, дом 11;Юго-Восточный административный округ;район Текстильщики;Чмырь Татьяна Ивановна;директор;(499) 177-97-01;(499) 177-97-01;;1779701@mail.ru;"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:30-22:00";;2;359;37,731298;55,710881;87036595;55.710881;37.731298
156;Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Салют»;улица Кедров, дом 14, корпус 3;Юго-Западный административный округ;Академический район;Преториус Лариса Константиновна;директор;"(499) 125-04-48; (499) 124-66-56; (499) 124-99-60";(499) 124-66-56;;salut-cinema@mail.ru;"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-20:00; воскресенье 10:00-20:00";;2;204;37,571305;55,682806;87036596;55.682806;37.571305
157;Государственное бюджетное учреждение культуры города Москвы «Кинотеатральный центр «Эльдар»;Ленинский проспект, дом 105;Юго-Западный административный округ;Обручевский район;Бригадиров Андрей Николаевич;директор;"(495) 735-99-77; (495) 735-99-88";(495) 735-99-79;kinoclub-eldar.ru;kin-eldar@yandex.ru;"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-20:00; воскресенье 10:00-20:00";;3;729;37,5134;55,665298;87036597;55.665298;37.5134
158;Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Полет»;Нелидовская улица, дом 10, строение 1;Северо-Западный административный округ;район Южное Тушино;Давыдов Артём Патваканович;директор;"(495) 492-81-25; (495) 497-56-41; (495) 493-94-36";"(499) 493-94-36; (495) 497-56-41";polet-kino.ru;info@polet-kino.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;1;129;37,442911;55,846061;87036598;55.846061;37.442911
159;Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Юность»;улица Маршала Рыбалко, дом 1;Северо-Западный административный округ;район Щукино;Жуков Андрей Павлович;директор;"(499) 194-10-26; (499) 194-24-30";"(499) 194-24-28; (499) 194-24-30";kino-junost.ru;kino-yunost@mail.ru;"понедельник 09:00-23:00; вторник 09:00-23:00; среда 09:00-23:00; четверг 09:00-23:00; пятница 09:00-23:00; суббота 09:00-23:00; воскресенье 09:00-23:00";;1;120;37,495441;55,795246;87036599;55.795246;37.495441
